Statistical profiling result from isolate-0x1bd8d000-2870177-v8.log, (16812 ticks, 5394 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  operator new[](unsigned long)@@GLIBCXX_3.4
      1    0.0%    0.0%  operator delete(void*, unsigned long)@@CXXABI_1.3.9
      1    0.0%    0.0%  operator delete(void*)@@GLIBCXX_3.4
      1    0.0%    0.0%  node::InternalMakeCallback(node::Environment*, v8::Local<v8::Object>, v8::Local<v8::Object>, v8::Local<v8::Function>, int, v8::Local<v8::Value>*, node::async_context, v8::Local<v8::Value>)
      1    0.0%    0.0%  node::BaseObject::pointer_data()
      1    0.0%    0.0%  node::AsyncWrap::EmitTraceEventDestroy()
      1    0.0%    0.0%  node::AsyncWrap::EmitTraceEventBefore()
      1    0.0%    0.0%  absl::Mutex::UnlockSlow(absl::SynchWaitParams*)
      1    0.0%    0.0%  __vsnprintf@@GLIBC_2.2.5
      1    0.0%    0.0%  __pthread_once@GLIBC_2.2.5
      1    0.0%    0.0%  __pthread_mutex_lock@GLIBC_2.2.5
      1    0.0%    0.0%  __open@@GLIBC_2.2.5
      1    0.0%    0.0%  __mmap@@GLIBC_PRIVATE
      1    0.0%    0.0%  __errno_location@@GLIBC_2.2.5
      1    0.0%    0.0%  __clock_gettime@@GLIBC_PRIVATE

 [Summary]:
   ticks  total  nonlib   name
  10614   63.1%   64.2%  JavaScript
    527    3.1%    3.2%  C++
    466    2.8%    2.8%  GC
    276    1.6%          Shared libraries
   5394   32.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
     98   28.8%    0.6%  fputc@@GLIBC_2.2.5
     70   20.6%    0.4%  pthread_cond_signal@@GLIBC_2.3.2
     35   10.3%    0.2%  std::ostream::put(char)@@GLIBCXX_3.4
     29    8.5%    0.2%  __write@@GLIBC_2.2.5
     23    6.8%    0.1%  syscall@@GLIBC_2.2.5
     22    6.5%    0.1%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
     15    4.4%    0.1%  _init
     12    3.5%    0.1%  isprint@@GLIBC_2.2.5
      8    2.4%    0.0%  __libc_malloc@@GLIBC_2.2.5
      5    1.5%    0.0%  fwrite@@GLIBC_2.2.5
      4    1.2%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
      4    1.2%    0.0%  _IO_file_xsputn@@GLIBC_2.2.5
      3    0.9%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      2    0.6%    0.0%  std::ostream::operator<<(int)@@GLIBCXX_3.4
      1    0.3%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.3%    0.0%  operator new[](unsigned long)@@GLIBCXX_3.4
      1    0.3%    0.0%  operator delete(void*)@@GLIBCXX_3.4
      1    0.3%    0.0%  node::BaseObject::pointer_data()
      1    0.3%    0.0%  cfree@GLIBC_2.2.5
      1    0.3%    0.0%  absl::Mutex::UnlockSlow(absl::SynchWaitParams*)
      1    0.3%    0.0%  __vsnprintf@@GLIBC_2.2.5
      1    0.3%    0.0%  __read@@GLIBC_2.2.5
      1    0.3%    0.0%  __pthread_once@GLIBC_2.2.5
      1    0.3%    0.0%  __open@@GLIBC_2.2.5

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   5394   32.1%  UNKNOWN
   1836   34.0%    JS: *onValue /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:197:12
   1667   90.8%      JS: *onEndObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:115:22
   1667  100.0%        JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
   1045   62.7%          JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
   1045  100.0%            JS: +ondata node:internal/streams/readable:1005:18
    622   37.3%          JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    622  100.0%            JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
    160    8.7%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    155   96.9%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    155  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
    155  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
      5    3.1%        JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      5  100.0%          JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      5  100.0%            JS: ~ondata node:internal/streams/readable:1005:18
    948   17.6%    JS: *onColon /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:106:18
    948  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    583   61.5%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
